stop_id,stop_name,stop_lat,stop_lon
79,Compassvale,1.39451797669085,103.90043487942478
80,Rumbia,1.391509460184778,103.9059368444869
81,Bakau,1.388029042530036,103.90545815399668
82,Kangkar,1.383921574698888,103.90220144933765
83,Ranggung,1.384030036525956,103.8973485788573
84,Cheng Lim,1.396309776132256,103.89371259307967
85,Farmway,1.397190797974815,103.88916658407446
86,Kupang,1.398203750973323,103.88124593703259
87,Thanggam,1.397433621709752,103.87564456259884
88,Fernvale,1.391916485402874,103.87629684230374
89,Layar,1.392113795403588,103.88007347641667
90,Tongkang,1.38944524889024,103.88580686582543
91,Renjong,1.386708054589889,103.89048463834847
92,Cove,1.399464221572572,103.90585218726488
93,Meridian,1.396976137434535,103.9088743662731
94,Coral Edge,1.393875419993549,103.91264261848282
95,Riviera,1.394549157370648,103.91610434449348
96,Kadaloor,1.399600930413328,103.91644473358139
97,Oasis,1.4023165832225,103.9126842765416
99,Sam Kee,1.409720988847937,103.90489279462764
101,Punggol Point,1.416881397271965,103.90662977642228
102,Samudera,1.415953688228711,103.90213975853027
103,Nibong,1.41183138442895,103.90030487610659
104,Sumang,1.408532183520833,103.8985341990612
105,Soo Teck,1.405393831334607,103.89723642899281
49,South View,1.380260024116552,103.74528492967367
50,Keat Hong,1.378603340954328,103.74902066009912
51,Teck Whye,1.376670474082516,103.75364705155573
52,Phoenix,1.378616332904244,103.75800798813884
54,Petir,1.377755595267359,103.76663388851375
55,Pending,1.376184072241358,103.77125868740876
56,Bangkit,1.380055338041075,103.77264429982239
57,Fajar,1.384550217436896,103.7708002811242
58,Segar,1.387791834670224,103.76959311942915
59,Jelapang,1.386683160337469,103.7645152786676
60,Senja,1.382677784086979,103.76238216812897
61,Ten Mile Junction,1.380224568666137,103.76049716192425
